DNK,20190506,0.78,0.79,0.78,0.78,13278476
DOR,20190506,0.062,0.068,0.062,0.068,300500
DOW,20190506,7.77,7.84,7.67,7.8,1686561
DRE,20190506,0.003,0.003,0.003,0.003,25528
DRO,20190506,0.15,0.15,0.13,0.13,708456
DRX,20190506,0.011,0.011,0.01,0.01,2454700
DSE,20190506,0.033,0.033,0.03,0.032,583328
DTI,20190506,0.049,0.049,0.049,0.049,49117
DTL,20190506,1.77,1.785,1.765,1.785,66860
DTS,20190506,0.2,0.2,0.185,0.185,36713
DTZ,20190506,0.07,0.07,0.068,0.069,113624
DUB,20190506,0.87,0.88,0.855,0.87,249901
DUI,20190506,4.19,4.19,4.12,4.14,30599
DVL,20190506,0.08,0.08,0.08,0.08,29000
DVN,20190506,0.15,0.18,0.145,0.18,67449
DW8,20190506,0.006,0.007,0.006,0.006,4928323
DWS,20190506,0.97,0.97,0.95,0.955,144437
DXB,20190506,0.084,0.084,0.082,0.082,64913
DXN,20190506,0.065,0.07,0.065,0.07,290180
DXS,20190506,12.38,12.475,12.34,12.45,5680029
DYL,20190506,0.375,0.39,0.37,0.385,71769
E2E,20190506,0.007,0.007,0.006,0.006,8678804
E2M,20190506,0.22,0.22,0.22,0.22,11045
EAF,20190506,1.28,1.285,1.28,1.28,101562
EAI,20190506,0.96,0.975,0.96,0.97,250703
EAR,20190506,0.14,0.15,0.14,0.14,2370977
EAS,20190506,0.94,0.965,0.94,0.96,21900
EAX,20190506,0.32,0.32,0.32,0.32,6255
EBO,20190506,20.4,20.5,20.4,20.5,4907
ECG,20190506,0.097,0.097,0.093,0.097,50558
ECL,20190506,1.265,1.265,1.265,1.265,3646
ECX,20190506,1.04,1.045,0.97,1.015,4193883
EDE,20190506,0.045,0.045,0.042,0.043,1260427
EEG,20190506,0.017,0.018,0.017,0.017,786015
EEU,20190506,15.47,15.47,15.47,15.47,731
EFE,20190506,0.004,0.004,0.004,0.004,28687
EFF,20190506,1.59,1.59,1.58,1.58,14000
EGD,20190506,2.15,2.15,2.14,2.14,24874
EGF,20190506,1.62,1.62,1.62,1.62,87716
EGG,20190506,1.4,1.4,1.4,1.4,884
EGH,20190506,0.265,0.265,0.265,0.265,65998
EGI,20190506,0.935,0.935,0.93,0.93,153503
EGN,20190506,0.435,0.435,0.43,0.43,21502
EGY,20190506,0.28,0.28,0.28,0.28,3000
EHE,20190506,2.83,2.89,2.81,2.84,556120
EHH,20190506,0.285,0.295,0.28,0.28,581011
EHL,20190506,2.06,2.07,1.92,1.93,2044706
EHX,20190506,0.032,0.032,0.032,0.032,25000
ELD,20190506,6.41,6.44,6.27,6.41,607910
ELO,20190506,6.04,6.04,5.99,6,47984
ELS,20190506,0.6,0.625,0.6,0.62,210130
ELX,20190506,0.6,0.6,0.585,0.585,88759
EM1,20190506,0.022,0.022,0.021,0.021,2912145
EM2,20190506,0.145,0.16,0.145,0.16,23857
EMB,20190506,12,12,12,12,1000
EME,20190506,0.15,0.15,0.15,0.15,4500
EMH,20190506,0.395,0.4,0.385,0.4,17787
EML,20190506,2.06,2.08,2.04,2.04,356817
EMP,20190506,0.003,0.003,0.003,0.003,8713425
EMR,20190506,0.041,0.041,0.041,0.041,584588
EMU,20190506,0.059,0.059,0.059,0.059,10000
EMV,20190506,0.405,0.405,0.39,0.4,59631
EN1,20190506,0.045,0.045,0.042,0.043,9204323
ENA,20190506,0.028,0.028,0.025,0.025,167803
ENE,20190506,0.24,0.24,0.23,0.23,20461
ENN,20190506,1.97,1.97,1.91,1.915,11078
ENR,20190506,0.079,0.079,0.079,0.079,30482
ENX,20190506,0.011,0.011,0.011,0.011,433333
EOF,20190506,2.1,2.14,1.99,2,247758
EOL,20190506,1.84,1.84,1.84,1.84,2500
EOS,20190506,3.31,3.46,3.26,3.26,530670
EPD,20190506,0.39,0.39,0.39,0.39,15711
EPW,20190506,1.73,1.78,1.725,1.78,219033
EQE,20190506,0.007,0.007,0.007,0.007,20000
EQT,20190506,26.86,27.38,26,26,36162
ERA,20190506,0.232,0.24,0.23,0.235,540014
ERF,20190506,1.22,1.22,1.2,1.2,18556
ERG,20190506,0.07,0.07,0.07,0.07,212
ERM,20190506,0.071,0.072,0.071,0.072,48994
ERX,20190506,0.07,0.07,0.069,0.069,493637
ESE,20190506,0.021,0.021,0.02,0.02,808734
ESH,20190506,0.012,0.012,0.011,0.011,395000
ESR,20190506,0.013,0.013,0.012,0.012,1296999
ESV,20190506,0.105,0.105,0.1,0.1,213024
ETE,20190506,0.007,0.01,0.007,0.009,30183072
